q1,q2
Q325447,Q364388
Q567414,Q425465
Q632344,Q594778
Q205792,Q529005
Q108056,Q381965
Q539289,Q515329
Q461783,Q693823
Q590227,Q365936
Q604463,Q702663
Q542602,Q066880
Q293350,Q558485
Q025342,Q258606
Q504867,Q131349
Q712241,Q226810
Q081263,Q470527
Q678920,Q697402
Q616200,Q662084
Q394877,Q099617
Q374217,Q693010
Q553663,Q172178
Q357070,Q340708
Q668768,Q266938
Q697503,Q707879
Q253081,Q193178
Q521515,Q475439
Q100321,Q130452
Q186246,Q017404
Q537747,Q051135
Q066508,Q273197
Q268227,Q003165
Q279718,Q597508
Q635709,Q294653
Q429174,Q269537
Q091009,Q407438
Q467859,Q037941
Q653575,Q218818
Q575342,Q640306
Q481250,Q201079
Q194339,Q158393
Q323123,Q183201
Q640493,Q163422
Q454489,Q150114
Q215883,Q251245
Q611115,Q173468
Q330095,Q346503
Q672670,Q002989
Q221691,Q632943
Q442215,Q112509
Q585058,Q312847
Q666655,Q344037
Q027608,Q576291
Q327745,Q573950
Q135900,Q099054
Q186415,Q376851
Q271719,Q540488
Q617347,Q096362
Q595919,Q564688
Q134714,Q101672
Q157751,Q166807
Q118330,Q019356
Q160596,Q517837
Q304686,Q719981
Q015885,Q669849
Q666527,Q230040
Q549148,Q477476
Q186446,Q553663
Q380682,Q091833
Q670411,Q409394
Q475587,Q200024
Q028995,Q004566
Q426965,Q699918
Q565426,Q655392
Q507278,Q074119
Q141443,Q464114
Q000132,Q412136
Q643637,Q159871
Q239678,Q486104
Q188557,Q153952
Q207400,Q100155
Q219943,Q418707
Q257479,Q140329
Q223977,Q216083
Q358245,Q565972
Q008043,Q324145
Q099671,Q561138
Q218655,Q621141
Q059919,Q642737
Q446859,Q712922
Q168714,Q360464
Q194791,Q011634
Q679755,Q328391
Q228131,Q333755
Q006937,Q517384
Q631403,Q074094
Q273703,Q349506
Q453072,Q584535
Q095373,Q505873
Q208436,Q276778
Q098277,Q689351
Q330372,Q404884
Q588524,Q046049
