label,q1,q2
1,Q728241,Q542572
1,Q422420,Q514386
1,Q635647,Q217357
1,Q054898,Q040284
1,Q666876,Q525474
1,Q016691,Q116157
1,Q318838,Q563512
1,Q508321,Q128795
1,Q168316,Q079775
1,Q461720,Q377909
1,Q624260,Q257681
1,Q428289,Q517848
1,Q553556,Q279757
1,Q375618,Q648948
1,Q471841,Q432874
1,Q163316,Q161912
1,Q157968,Q048561
1,Q521705,Q621760
1,Q427285,Q319302
1,Q064983,Q314449
1,Q480998,Q587429
1,Q155829,Q400745
1,Q049540,Q094964
1,Q665648,Q348013
1,Q113380,Q558278
1,Q425746,Q601688
1,Q627386,Q697402
1,Q074119,Q485989
1,Q214482,Q559353
1,Q016414,Q518705
1,Q725489,Q648271
1,Q429518,Q595401
1,Q645061,Q653681
1,Q499274,Q321771
1,Q418100,Q694972
1,Q280334,Q547897
1,Q582614,Q022193
1,Q438008,Q051796
1,Q493979,Q329522
1,Q069412,Q597517
1,Q627713,Q582944
1,Q460655,Q400745
1,Q166693,Q311317
1,Q073320,Q654050
1,Q375715,Q360841
1,Q132875,Q204399
1,Q579253,Q630139
1,Q494418,Q278081
1,Q118511,Q144884
1,Q079256,Q606351
1,Q711713,Q544178
1,Q510025,Q618764
1,Q689530,Q727226
1,Q158891,Q415208
1,Q434117,Q285656
1,Q518241,Q143237
1,Q297153,Q412136
1,Q078244,Q253497
1,Q078941,Q473000
1,Q580277,Q364796
1,Q209532,Q379685
1,Q039081,Q690189
1,Q242124,Q080907
1,Q391651,Q644208
1,Q426965,Q522879
1,Q475564,Q564206
1,Q448442,Q635461
1,Q632205,Q131268
1,Q676300,Q400994
1,Q472524,Q494418
1,Q645396,Q327541
1,Q523842,Q657608
1,Q054036,Q219252
1,Q540487,Q044146
1,Q463148,Q652701
1,Q220721,Q681560
1,Q702252,Q617861
1,Q500486,Q376644
1,Q526743,Q089016
1,Q675249,Q174075
1,Q366457,Q567757
1,Q299700,Q116513
1,Q090249,Q579720
1,Q578767,Q583098
1,Q672572,Q541779
1,Q402828,Q422420
1,Q156645,Q618119
1,Q500658,Q451345
1,Q420018,Q250068
1,Q595578,Q221608
1,Q406179,Q190303
1,Q360595,Q285775
1,Q169888,Q489948
1,Q265892,Q722446
1,Q192426,Q366895
1,Q027411,Q594567
1,Q451008,Q044718
1,Q040723,Q335113
1,Q241871,Q517837
1,Q329543,Q245586
1,Q545170,Q394686
1,Q565861,Q061442
1,Q646790,Q329038
1,Q625025,Q696465
1,Q430513,Q667984
1,Q296549,Q628583
1,Q371243,Q417347
1,Q519623,Q639967
1,Q135863,Q327310
1,Q366457,Q714698
1,Q014237,Q562196
1,Q427369,Q388893
1,Q511186,Q201282
1,Q200024,Q202556
1,Q340709,Q678008
1,Q017404,Q064060
1,Q682304,Q110405
1,Q461612,Q456700
1,Q628691,Q452855
1,Q722300,Q523728
1,Q314665,Q636671
1,Q436811,Q073096
1,Q640412,Q209463
1,Q492945,Q382470
1,Q243433,Q058859
1,Q206092,Q686617
1,Q383266,Q016990
1,Q451563,Q137616
1,Q015704,Q275721
1,Q559520,Q162964
1,Q539364,Q014123
1,Q090171,Q594487
1,Q080532,Q528767
1,Q530764,Q505614
1,Q671933,Q230698
1,Q001819,Q556257
1,Q069904,Q095138
1,Q630955,Q707673
1,Q213983,Q413867
1,Q600519,Q061654
1,Q140120,Q001568
1,Q291723,Q637524
1,Q714798,Q623547
1,Q200024,Q429717
1,Q166008,Q374285
1,Q137616,Q290728
1,Q511442,Q138374
1,Q218375,Q247865
1,Q387369,Q595401
1,Q557321,Q390884
1,Q014237,Q221148
1,Q245686,Q256310
1,Q295006,Q507087
1,Q187739,Q176420
1,Q360841,Q572198
1,Q014237,Q260193
1,Q180669,Q422762
1,Q571705,Q176109
1,Q428658,Q303631
1,Q180951,Q708803
1,Q464712,Q077490
1,Q305730,Q263180
1,Q011552,Q521452
1,Q543281,Q255310
1,Q005396,Q665534
1,Q564206,Q132152
1,Q643803,Q083845
1,Q654226,Q074737
1,Q347716,Q071028
1,Q443720,Q176802
1,Q039394,Q378266
1,Q292415,Q377343
1,Q451988,Q586646
1,Q040710,Q677376
1,Q444633,Q068418
1,Q023499,Q537315
1,Q599469,Q409624
1,Q423849,Q353385
1,Q004202,Q523881
1,Q382780,Q493240
1,Q372867,Q480408
1,Q099533,Q454631
1,Q648571,Q082480
1,Q000866,Q566531
1,Q495864,Q190110
1,Q029082,Q456570
1,Q669849,Q700827
1,Q413721,Q247025
1,Q465458,Q219407
1,Q351366,Q112129
1,Q143362,Q541837
1,Q572442,Q399489
1,Q644268,Q126319
1,Q676038,Q176504
1,Q367455,Q601749
1,Q661982,Q334909
1,Q098641,Q041575
1,Q096795,Q080774
1,Q062356,Q541489
1,Q485633,Q459108
1,Q514908,Q576499
1,Q206745,Q320972
1,Q521187,Q076741
1,Q364296,Q547571
1,Q641990,Q224522
1,Q484147,Q064058
1,Q505409,Q430608
1,Q688913,Q105734
1,Q381663,Q459039
1,Q208060,Q343041
1,Q643803,Q053231
1,Q425763,Q664014
1,Q129731,Q627860
1,Q595919,Q033290
1,Q688102,Q453773
1,Q325623,Q337429
1,Q079255,Q459787
1,Q645061,Q174811
1,Q454844,Q434560
1,Q625278,Q375342
1,Q600554,Q021513
1,Q485810,Q622593
1,Q665566,Q271583
1,Q251061,Q059952
1,Q518638,Q154553
1,Q529423,Q360505
1,Q405900,Q182227
1,Q126151,Q617904
1,Q452202,Q645435
1,Q159328,Q070124
1,Q136538,Q485074
1,Q520308,Q637524
1,Q512266,Q241252
1,Q406267,Q063592
1,Q215912,Q017049
1,Q698827,Q128001
1,Q628444,Q324857
1,Q416844,Q090171
1,Q107715,Q469268
1,Q476038,Q581056
1,Q547811,Q152112
1,Q320915,Q683958
1,Q611338,Q273703
1,Q103623,Q289070
1,Q512132,Q399360
1,Q234035,Q296575
1,Q636735,Q707736
1,Q522762,Q366895
1,Q709928,Q405292
1,Q365259,Q666203
1,Q021022,Q171926
1,Q423849,Q051947
1,Q050155,Q271465
1,Q362053,Q365259
1,Q213983,Q603158
1,Q440480,Q077693
1,Q522125,Q593693
1,Q066137,Q533118
1,Q033254,Q315482
1,Q601162,Q184331
1,Q720531,Q092028
1,Q217836,Q661495
1,Q450711,Q215247
1,Q246560,Q467582
1,Q481062,Q217856
1,Q366920,Q253956
1,Q478175,Q321106
1,Q112953,Q338260
1,Q246342,Q409912
1,Q371919,Q045161
1,Q614130,Q215270
1,Q248798,Q115129
1,Q518129,Q475251
1,Q328040,Q698070
1,Q373248,Q551622
1,Q606474,Q556733
1,Q440689,Q697426
1,Q040742,Q646476
1,Q455301,Q073714
1,Q432723,Q144197
1,Q211077,Q222144
1,Q485418,Q616538
1,Q722895,Q587074
1,Q500658,Q481306
1,Q563717,Q107032
1,Q602349,Q264049
1,Q401972,Q044949
1,Q598578,Q621092
1,Q206051,Q536107
1,Q455156,Q092597
1,Q648275,Q254306
1,Q061654,Q055385
1,Q291797,Q087472
1,Q284008,Q570900
1,Q342779,Q435449
1,Q322428,Q374394
1,Q707415,Q440335
1,Q504536,Q296575
1,Q454858,Q520739
1,Q280673,Q268920
1,Q286935,Q482630
1,Q478388,Q063592
1,Q451988,Q024511
1,Q589465,Q358618
1,Q144201,Q138006
1,Q192426,Q694993
1,Q610378,Q665534
1,Q179548,Q559109
1,Q555455,Q579460
1,Q155477,Q246036
1,Q259406,Q494560
1,Q005396,Q576291
1,Q465596,Q514800
1,Q054233,Q201237
1,Q522459,Q641256
1,Q092028,Q560765
1,Q019851,Q026596
1,Q167983,Q403244
1,Q326695,Q485392
1,Q574807,Q150486
1,Q515300,Q517461
1,Q063959,Q269105
1,Q204355,Q354850
1,Q188553,Q285783
1,Q160968,Q541979
1,Q157228,Q395605
1,Q401400,Q482585
1,Q348190,Q445679
1,Q535194,Q296575
1,Q195478,Q022092
1,Q366920,Q109493
1,Q628349,Q484478
1,Q190346,Q189249
1,Q665740,Q303823
1,Q021885,Q067277
1,Q284648,Q452641
1,Q347377,Q249279
1,Q314986,Q349322
1,Q213468,Q277054
1,Q299214,Q720944
1,Q070892,Q519390
1,Q444256,Q567885
1,Q415959,Q569812
1,Q111035,Q263180
1,Q287761,Q466584
1,Q265063,Q365929
1,Q322620,Q380071
1,Q650234,Q114786
1,Q007461,Q684962
1,Q712241,Q517848
1,Q528675,Q600940
1,Q013693,Q215554
1,Q317196,Q669193
1,Q588100,Q587074
1,Q356907,Q180060
1,Q151047,Q091902
1,Q378782,Q329540
1,Q195819,Q621027
1,Q330183,Q259503
1,Q206981,Q645323
